Futtermittel,ME [MJ/kg],Rohprotein [g/kg],Rohfett [g/kg],Rohfaser [g/kg],Lysin [g/kg],Methionin [g/kg],Methionin + Cystein [g/kg],Tryptophan [g/kg],Ca [g/kg],P[g/kg],Na [g/kg]
Mais,13.75,77,40,22,2.4,1.6,3.4,0.1,0.4,3.5,0.21
Weizen,12.78,126,18,27,3.3,1.8,4.5,1.5,0.5,3.2,0.21
Triticale,12.59,118,13,18,3.6,1.9,4.4,1.2,0.5,3.4,0.1
"Gerste, Winter",11.43,106,16,37,3.9,1.8,4.1,1.3,0.8,3.9,0.35
Hafer,10.25,111,51,79,4.3,1.7,4.7,1.4,1.1,3.8,0.57
"SojaES, HP",10.43,475,16,36,29.2,6.4,13.3,6.4,3,12.3,0.16
"SojaES, Normtyp",10.17,443,13,59,27.3,6.1,12.5,6.1,3,12.3,0.16
RapsES,8.32,344,20,122,18.1,6.8,15.1,4.6,6.9,11.1,0.1
Sonnenbl.ES geschaelt ,8.02,399,20,124,14.8,9.3,17,6.2,3.8,10.4,0.22
getr. Weizenschlempe (DDGS),8.4,328,58,76,6.7,4.8,10.8,3.3,0.4,8.3,0.8
Luzernegruenmehl,6.06,196,32,200,6.6,1.9,3.4,2.4,15.5,3,0.6
Grasgruenmehl,5.41,162,37,170,7,2.5,4,3.1,8,3.9,0.9
Maiskleber,13.69,630,46,11,10,14.5,24.9,3.3,0.7,3.9,0.42
Kartoffeleiweiss,14.56,754,20,6,58.5,16.7,27.2,10.6,1,2.5,0.5
Bierhefe,1.4,441,8,18,26.3,6,9.8,5,2.9,13.6,1.51
Erbsen,11.03,220,16,55,15.4,1.9,4.8,1.9,0.9,3.4,0.31
"Suesslupinen, weissbluehend",8,314,76,121,16.6,2.1,8.1,2.6,1.8,4,0.35
Ackerbohne,10.79,258,15,69,16.1,1.8,4.8,2.2,1.4,5.5,0.31
Sojavollbohne,13.84,350,179,55,22.1,4.8,10.2,4.8,2.8,5.7,0.4
Weizenkleie,6.17,146,47,103,6.3,2.3,5.5,2.5,1.5,11.4,0.49
Futterkalk,0,0,0,0,0,0,0,0,381,0.4,0
Sojaoel,36.95,0,950,0,0,0,0,0,0,0,0
Rapsoel,35.38,0,950,0,0,0,0,0,0,0,0
Sonnenbl.Oel,37,0,950,0,0,0,0,0,0,0,0
Viehsalz,0,0,0,0,0,0,0,0,0,0,380
"Premix 1, 3% Met",0,0,0,0,0,30,0,0,150,80,50
"Premix 2, 7% Met",0,0,0,0,0,70,0,0,150,80,50
"Premix 3, 8% Met",0,0,0,0,0,80,0,0,130,80,50
"Premix 4, ohne Met",0,0,0,0,0,0,0,0,150,80,50
"Rohfaserkonzentrat, 65% XF",0,0,0,650,0,0,0,0,0,0,0
